Date,Open,High,Low,Close,Adj Close,Volume
2013-10-04,3.990000,3.990000,3.970000,3.990000,3.460057,4983
2013-10-06,3.970000,3.970000,3.940000,3.940000,3.416698,46
2013-10-07,3.930000,3.930000,3.870000,3.910000,3.390683,34016
2013-10-08,3.910000,3.920000,3.910000,3.920000,3.399354,15088
2013-10-09,3.920000,3.920000,3.910000,3.920000,3.399354,18221
2013-10-10,3.950000,3.980000,3.950000,3.980000,3.451385,160459
2013-10-13,3.960000,3.960000,3.930000,3.930000,3.408026,8822
2013-10-14,3.950000,3.990000,3.950000,3.970000,3.442714,20810
2013-10-15,3.960000,3.980000,3.960000,3.980000,3.451385,101090
2013-10-16,3.990000,4.000000,3.970000,4.000000,3.468729,84488
2013-10-17,3.990000,4.050000,3.990000,4.050000,3.512088,186339
2013-10-20,4.050000,4.080000,4.050000,4.070000,3.529432,47375
2013-10-21,4.090000,4.100000,4.070000,4.100000,3.555447,69325
2013-10-22,4.110000,4.140000,4.100000,4.100000,3.555447,75818
2013-10-23,4.150000,4.150000,4.110000,4.110000,3.564119,25168
2013-10-24,4.260000,4.260000,4.100000,4.130000,3.581463,73410
2013-10-27,4.180000,4.180000,4.110000,4.150000,3.598807,57329
2013-10-28,4.110000,4.140000,4.090000,4.100000,3.555447,32891
2013-10-29,4.090000,4.120000,4.090000,4.110000,3.564119,49194
2013-10-30,4.120000,4.120000,4.100000,4.120000,3.572791,69651
2013-10-31,4.110000,4.110000,4.060000,4.080000,3.538104,28121
2013-11-03,4.110000,4.110000,4.040000,4.060000,3.520760,24113
2013-11-04,4.040000,4.090000,4.040000,4.060000,3.520760,7420
2013-11-05,4.060000,4.060000,4.060000,4.060000,3.520760,34335
2013-11-06,4.070000,4.070000,4.050000,4.060000,3.520760,124612
2013-11-07,4.050000,4.050000,4.030000,4.050000,3.512088,58227
2013-11-10,4.060000,4.080000,4.020000,4.020000,3.486073,39274
2013-11-11,4.060000,4.060000,4.020000,4.030000,3.494745,26769
2013-11-12,4.020000,4.020000,3.980000,4.000000,3.468729,152544
2013-11-13,4.010000,4.030000,3.990000,4.030000,3.494745,34778
2013-11-14,4.030000,4.040000,4.000000,4.030000,3.494745,11669
2013-11-17,4.000000,4.020000,3.990000,4.020000,3.486073,24116
2013-11-18,3.990000,3.990000,3.980000,3.990000,3.460057,4832
2013-11-19,3.960000,3.960000,3.930000,3.930000,3.408026,104689
2013-11-20,3.940000,3.940000,3.910000,3.910000,3.390683,26227
2013-11-21,3.960000,3.970000,3.960000,3.970000,3.442714,88733
2013-11-24,4.010000,4.010000,3.950000,3.950000,3.425370,28066
2013-11-25,3.900000,3.980000,3.900000,3.980000,3.451385,61928
2013-11-26,3.970000,3.970000,3.920000,3.920000,3.399354,24017
2013-11-27,3.910000,3.950000,3.890000,3.910000,3.390683,54645
2013-11-28,3.870000,3.900000,3.870000,3.900000,3.382011,53578
2013-12-01,null,null,null,null,null,null
2013-12-02,3.830000,3.830000,3.820000,3.820000,3.312636,151872
2013-12-03,3.800000,3.840000,3.780000,3.840000,3.329980,193921
2013-12-04,3.830000,3.840000,3.810000,3.810000,3.303965,14882
2013-12-05,3.790000,3.790000,3.770000,3.780000,3.277949,13612
2013-12-08,3.800000,3.800000,3.770000,3.790000,3.286621,3351
2013-12-09,3.800000,3.800000,3.780000,3.780000,3.277949,11016
